brand,user_id
Apple,user_0
Apple,user_1
Apple,user_2
Apple,user_3
Apple,user_4
Apple,user_5
Apple,user_6
Android,user_7
Android,user_8
Android,user_9
Apple,user_10
Apple,user_11
Apple,user_12
Android,user_13
Android,user_14
Apple,user_15
Apple,user_16
Android,user_17
Android,user_18
Android,user_19
Android,user_20
Apple,user_21
Apple,user_22
Apple,user_23
Android,user_24
Android,user_25
Android,user_26
Android,user_27
Android,user_28
Apple,user_29
Android,user_30
Apple,user_31
Android,user_32
Android,user_33
Android,user_34
Apple,user_35
Apple,user_36
Apple,user_37
Android,user_38
Apple,user_39
Android,user_40
Apple,user_41
Android,user_42
Apple,user_43
Android,user_44
Android,user_45
Android,user_46
Apple,user_47
Android,user_48
Apple,user_49
Android,user_50
Android,user_51
Android,user_52
Apple,user_53
Android,user_54
Apple,user_55
Android,user_56
Android,user_57
Apple,user_58
Apple,user_59
Android,user_60
Android,user_61
Apple,user_62
Apple,user_63
Android,user_64
Android,user_65
Apple,user_66
Apple,user_67
Android,user_68
Apple,user_69
Apple,user_70
Apple,user_71
Apple,user_72
Apple,user_73
Apple,user_74
Android,user_75
Apple,user_76
Apple,user_77
Apple,user_78
Android,user_79
Android,user_80
Android,user_81
Apple,user_82
Apple,user_83
Apple,user_84
Apple,user_85
Android,user_86
Android,user_87
Android,user_88
Apple,user_89
Android,user_90
Android,user_91
Apple,user_92
Apple,user_93
Android,user_94
Apple,user_95
Android,user_96
Android,user_97
Android,user_98
Android,user_99
Android,user_100
Apple,user_101
Android,user_102
Apple,user_103
Android,user_104
Android,user_105
Android,user_106
Apple,user_107
Apple,user_108
Apple,user_109
Android,user_110
Apple,user_111
Apple,user_112
Apple,user_113
Apple,user_114
Android,user_115
Android,user_116
Android,user_117
Android,user_118
Android,user_119
Android,user_120
Apple,user_121
Android,user_122
Apple,user_123
Apple,user_124
Android,user_125
Android,user_126
Android,user_127
Apple,user_128
Apple,user_129
Android,user_130
Apple,user_131
Android,user_132
Android,user_133
Android,user_134
Android,user_135
Android,user_136
Android,user_137
Apple,user_138
Android,user_139
Apple,user_140
Apple,user_141
Android,user_142
Android,user_143
Android,user_144
Android,user_145
Apple,user_146
Apple,user_147
Android,user_148
Apple,user_149
Apple,user_150
Android,user_151
Apple,user_152
Android,user_153
Android,user_154
Android,user_155
Apple,user_156
Apple,user_157
Apple,user_158
Android,user_159
Apple,user_160
Android,user_161
Android,user_162
Apple,user_163
Apple,user_164
Apple,user_165
Apple,user_166
Android,user_167
Android,user_168
Android,user_169
Apple,user_170
Apple,user_171
Android,user_172
Android,user_173
Apple,user_174
Apple,user_175
Apple,user_176
Android,user_177
Apple,user_178
Android,user_179
Apple,user_180
Android,user_181
Android,user_182
Apple,user_183
Apple,user_184
Apple,user_185
Android,user_186
Android,user_187
Android,user_188
